"","kepoi_name","kepler_name","koi_disposition","koi_period","koi_impact","koi_duration","koi_depth","koi_ror","koi_srho","koi_prad","koi_sma","koi_teq","koi_insol","koi_dor","koi_model_snr","koi_count","koi_steff","koi_slogg","koi_smet","koi_srad","koi_smass","Y_habitable"
"2020","K03038.01","Kepler-1416 b","CONFIRMED",1.49514952,0.0172,3.11,54.9,0.006728,0.4439,0.86,0.0248,1727,2103.03,3.743,13.3,1,5710,4.262,-0.1,1.166,0.906,0
"1524","K02045.02","Kepler-354 d","CONFIRMED",24.2102171,0.4147,4.414,444,0.019096,1.91598,1.47,0.1459,451,9.8,39,12.9,3,4650,4.589,-0.04,0.706,0.704,0
"89","K00148.03","Kepler-48 d","CONFIRMED",42.89605505,0.028,5.625,591,0.021677,2.16576,2.02,0.2365,443,9.14,59.5,67.2,3,5296,4.558,0.3,0.852,0.955,0
"1822","K02529.02","Kepler-436 b","CONFIRMED",64.001151,0.756,4.481,1160,0.033987,2.10645,1.9,0.2502,271,1.28,77,12.8,2,4299,4.728,-0.96,0.511,0.508,1
"1573","K02103.01","Kepler-1098 b","CONFIRMED",2.543072855,0.0445,2.7494,166,0.011738,1.07652,1.13,0.0346,1280,634.16,7.166,27,2,5753,4.479,-0.34,0.88,0.852,0
"1251","K01647.02","Kepler-313 c","CONFIRMED",32.2752118,0.5112,7.066,240,0.014559,0.51978,1.7,0.196,608,32.32,30.6,16,3,5900,4.363,-0.12,1.07,0.964,0
"720","K00800.02","Kepler-234 c","CONFIRMED",7.21204152,0.0074,4.0598,1080,0.030183,0.99651,3.51,0.0765,1015,250.42,13.993,51.9,2,6167,4.444,0.07,1.064,1.149,0
"1797","K02473.01","Kepler-389 b","CONFIRMED",3.24416463,0.2809,2.033,410,0.018432,3.06944,1.58,0.0402,1049,285.91,11.95,18.2,2,5380,4.564,-0.2,0.785,0.823,0
"186","K00248.01","Kepler-49 b","CONFIRMED",7.203850636,0.166,2.5556,1930,0.039956,3.94321,2.23,0.0595,493,13.94,22.12,108.7,4,3816,4.755,-0.05,0.51,0.54,0
"1107","K01416.01","Kepler-840 b","CONFIRMED",2.495779623,2e-04,4.26239,26100,0.148213,0.42192,16.06,0.0355,1408,929.47,5.1792,700.3,1,6039,4.426,-0.28,0.992,0.959,0
"20111","K03004.01","Kepler-1407 b","CONFIRMED",20.0711504,0.2205,6.137,370,0.017644,0.71896,2.16,0.1494,736,69.25,24.83,14.1,2,6086,4.38,0.06,1.122,1.101,0
"1395","K01899.01","Kepler-1006 b","CONFIRMED",19.76172042,0.6317,3.5906,396,0.019145,1.8432,2.46,0.1464,791,92.38,33.6,32.6,2,6327,4.327,-0.14,1.175,1.064,0
"371","K00459.02","Kepler-162 b","CONFIRMED",6.91986734,0.0238,3.3292,182,0.012333,1.64288,1.28,0.068,961,201.41,16.08,25.5,2,5815,4.421,-0.3,0.954,0.875,0
"1375","K01876.01","Kepler-991 b","CONFIRMED",82.5342519,0.2818,4.8336,1810,0.037544,6.13734,2.29,0.3067,252,0.95,130.3,37.2,1,4237,4.696,-0.48,0.558,0.564,0
"1979","K02886.01","Kepler-1379 b","CONFIRMED",0.881841146,0.1448,1.3051,278,0.01505,3.46126,1.28,0.0171,1565,1418.14,5.221,20.4,1,5260,4.587,-0.06,0.778,0.856,0
"683","K00756.02","Kepler-228 c","CONFIRMED",4.13443005,0.7964,3.1797,789,0.028445,0.30732,3.02,0.0514,1160,427.65,6.52,41.1,3,6046,4.486,-0.08,0.972,1.053,0
"860","K00936.02","Kepler-732 c","CONFIRMED",0.893041236,0.0468,1.1042,794,0.025471,6.09418,1.22,0.014,886,145.37,6.357,92.7,2,3581,4.814,0.14,0.44,0.46,0
"1269","K01706.01","Kepler-932 b","CONFIRMED",1.921437396,0.2575,1.7519,287,0.01534,2.88,1.43,0.0279,1276,626.79,8.253,57.2,1,5238,4.472,-0.08,0.851,0.784,0
"2108","K03407.01","Kepler-1490 b","CONFIRMED",92.4362973,0.9096,5.709,830,0.031784,0.48412,2.59,0.3726,349,3.51,60.2,17.2,1,5598,4.6,-0.48,0.745,0.806,0
"1947","K02806.01","Kepler-1353 b","CONFIRMED",24.7543966,0.5501,3.532,615,0.023092,3.04244,2.03,0.153,491,13.7,46.2,20.8,1,4852,4.519,0.2,0.804,0.778,0
"489","K00571.02","Kepler-186 d","CONFIRMED",13.34300789,0.8381,2.9002,873,0.030496,0.99717,1.53,0.0862,383,5.1,21.1,51.6,5,3761,4.793,-0.21,0.46,0.48,0
