kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
K00001.01,Kepler-1 b,CONFIRMED,2.470613385,1.90E-08,-1.90E-08,0.8186,0.0003,-0.0006,1.74259,0.00089,-0.00089,1.42E+04,4.67E+01,-4.67E+01,0.123851,2.50E-05,-7.60E-05,1.83176,0.00684,-0.00441,12.85,2.70E-01,-2.70E-01,0.035,,,1344,,,772.22,60.74,-57.15,8.3922,0.0313,-0.0313,6802,1,5850,50,-50,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.95,0.02,-0.02,0.94,0.05,-0.05
K00002.01,Kepler-2 b,CONFIRMED,2.204735365,3.80E-08,-3.80E-08,0.001,0.0111,-0.001,3.88216,0.00044,-0.00044,6.69E+03,1.30E+00,-1.30E+00,0.075408,8.00E-06,-7.00E-06,0.40593,0.00006,-0.00027,16.39,1.50E-01,-1.40E-01,0.0381,,,2025,,,3973.7,279.95,-264.48,4.707268,0.0007,-0.0007,6714.5,1,6350,80,-80,4.021,0.011,-0.011,0.26,0.08,-0.08,1.991,0.018,-0.018,1.52,0.036,-0.036
K00003.01,Kepler-3 b,CONFIRMED,4.887802706,1.77E-07,-1.77E-07,0.026,0.0486,-0.026,2.36386,0.00113,-0.00113,4.34E+03,2.20E+00,-2.20E+00,0.057989,4.90E-05,-3.30E-05,3.70008,0.01139,-0.02911,4.84,1.90E-01,-1.40E-01,0.053,,,801,,,97.1,16.17,-12.29,16.7184,0.0515,-0.0515,2207.8,1,4777,93,-91,4.59,0.011,-0.041,0.32,0.1,-0.14,0.765,0.03,-0.022,0.829,0.024,-0.053
K00004.01,Kepler-1658 b,CONFIRMED,3.849371501,1.30E-06,-1.30E-06,0.9193,0.0059,-0.0071,2.6605,0.0345,-0.0345,1.32E+03,7.30E+00,-7.30E+00,0.040105,2.76E-04,-4.71E-04,0.20824,0.02503,-0.02017,13.1,2.06E+00,-3.25E+00,0.0548,,,2035,,,4055.29,1837.19,-1919.87,5.464,0.657,-0.657,262.6,1,6244,130,-109,3.657,0.205,-0.107,-0.16,0.2,-0.14,2.992,0.469,-0.743,1.482,0.137,-0.196
K00007.01,Kepler-4 b,CONFIRMED,3.213668628,1.12E-06,-1.12E-06,0.0189,0.1978,-0.0188,3.99355,0.00945,-0.00945,7.28E+02,2.60E+00,-2.60E+00,0.024735,1.41E-04,-7.60E-05,0.46381,0.00018,-0.0571,4.14,1.10E-01,-1.10E-01,0.0439,,,1507,,,1218.92,133.27,-122.39,6.32647,0.00246,-0.00246,328.5,1,5781,76,-76,4.105,0.01,-0.01,0.09,0.101,-0.101,1.533,0.04,-0.04,1.092,0.073,-0.073
K00010.01,Kepler-8 b,CONFIRMED,3.522498573,1.94E-07,-1.94E-07,0.6141,0.0061,-0.0094,3.19061,0.00633,-0.00633,9.38E+03,6.60E+00,-6.60E+00,0.093582,1.17E-04,-1.98E-04,0.68914,0.0184,-0.01254,14.83,1.19E+00,-1.32E+00,0.0473,,,1521,,,1264.67,323.37,-317.46,7.675,0.205,-0.205,1801.5,1,6225,114,-158,4.169,0.055,-0.048,-0.04,0.12,-0.16,1.451,0.117,-0.129,1.132,0.088,-0.098
K00012.01,Kepler-448 b,CONFIRMED,17.8552197,3.77E-06,-3.77E-06,0.0009,0.0542,-0.0009,7.42939,0.00537,-0.00537,9.15E+03,1.14E+01,-1.14E+01,0.088385,7.80E-05,-5.00E-05,0.47417,0.0004,-0.0042,14.63,8.54E+00,-3.18E+00,0.1463,,,942,,,186.24,322.22,-86.26,19.9926,0.0169,-0.0169,1034.5,1,6635,142,-214,4.193,0.145,-0.325,-0.04,0.25,-0.36,1.516,0.885,-0.33,1.312,0.272,-0.246
K00013.01,Kepler-13 b,CONFIRMED,1.763587569,3.20E-08,-3.20E-08,0.3742,0.0096,-0.0084,3.18137,0.00493,-0.00493,4.60E+03,1.90E+00,-1.90E+00,0.077938,5.40E-05,-3.70E-05,0.49629,0.00443,-0.00654,25.8,1.02E+01,-8.04E+00,0.0386,,,3560,,,37958.27,44636.82,-23093.53,4.3373,0.0387,-0.0387,5120.6,1,9107,257,-425,3.867,0.235,-0.148,0.07,0.14,-0.65,3.031,1.198,-0.944,2.466,0.447,-0.725
K00017.01,Kepler-6 b,CONFIRMED,3.234699312,1.13E-07,-1.13E-07,0.0008,0.0181,-0.0008,3.60111,0.00091,-0.00091,1.08E+04,4.00E+00,-4.00E+00,0.095137,2.00E-05,-1.80E-05,0.77551,0.00039,-0.00113,13.41,9.70E-01,-1.03E+00,0.0435,,,1355,,,797.62,185.14,-169.15,7.54164,0.00379,-0.00379,3344.9,1,5640,99,-110,4.236,0.049,-0.047,0.34,0.1,-0.16,1.291,0.093,-0.099,1.047,0.079,-0.075
K00018.01,Kepler-5 b,CONFIRMED,3.548465405,1.96E-07,-1.96E-07,0.0003,0.0211,-0.0003,4.57705,0.00133,-0.00133,7.45E+03,3.60E+00,-3.60E+00,0.080126,2.20E-05,-2.00E-05,0.39897,0.00033,-0.00057,15.28,1.18E+00,-1.28E+00,0.05,,,1640,,,1708.28,410.12,-380.13,6.42769,0.00532,-0.00532,2442.4,1,6290,105,-120,4.074,0.045,-0.054,0.04,0.1,-0.16,1.746,0.135,-0.146,1.319,0.09,-0.135
